Time,Altitude,OrientX,OrientY,OrientZ,VelX,VelY,VelZ,Battery,TimeSinceStartup,Longitude,Latitude,State,Frame,Longitude Change,Latitude Change,RSSI,SNR
22:22:38.343440,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,48,111,40,-46,10.0
22:22:39.291645,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,49,111,40,-46,10.0
22:22:40.295419,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,50,111,40,-46,10.0
22:22:41.296892,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,51,111,40,-46,10.0
22:22:42.303770,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,52,111,39,-46,9.75
22:22:43.303382,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,53,111,42,-46,10.5
22:22:44.302450,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,54,112,40,-45,10.0
22:22:45.304512,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,55,111,38,-46,9.5
22:22:46.310289,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,56,111,41,-46,10.25
22:22:47.309645,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,57,112,42,-45,10.5
22:22:48.309756,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,58,111,39,-46,9.75
22:22:49.311777,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,59,112,40,-45,10.0
22:22:50.314794,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,60,111,38,-46,9.5
22:22:51.316824,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,61,111,38,-46,9.5
22:22:52.319063,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,62,112,41,-45,10.25
22:22:53.321641,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,63,111,38,-46,9.5
22:22:54.322686,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,64,111,40,-46,10.0
22:22:55.324826,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,65,111,38,-46,9.5
22:22:56.326822,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,66,112,37,-45,9.25
22:22:57.327954,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,67,113,42,-44,10.5
