Time,Altitude,OrientX,OrientY,OrientZ,VelX,VelY,VelZ,Battery,TimeSinceStartup,Longitude,Latitude,State,Frame,Longitude Change,Latitude Change,RSSI,SNR
22:26:25.849957,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,19,108,40,-49,10.0
22:26:26.747315,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,20,111,38,-46,9.5
22:26:27.748122,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,21,112,41,-45,10.25
22:26:28.758173,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,22,112,40,-45,10.0
22:26:29.756231,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,23,111,39,-46,9.75
22:26:30.754976,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,24,111,39,-46,9.75
22:26:31.759050,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,25,109,38,-48,9.5
22:26:32.759432,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,26,108,42,-49,10.5
22:26:33.767371,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,27,108,38,-49,9.5
22:26:34.780964,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,28,109,40,-48,10.0
22:26:35.766543,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,29,108,37,-49,9.25
22:26:36.768040,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,30,109,38,-48,9.5
22:26:37.770091,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,31,113,39,-44,9.75
22:26:38.774838,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,32,112,38,-45,9.5
22:26:39.773166,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,33,108,39,-49,9.75
22:26:40.779013,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,34,113,38,-44,9.5
22:26:41.779750,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,35,111,40,-46,10.0
22:26:42.780707,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,36,109,37,-48,9.25
22:26:43.782342,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,37,112,38,-45,9.5
22:26:44.786892,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,38,113,39,-44,9.75
22:26:45.787412,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,39,112,39,-45,9.75
22:26:46.790071,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,40,113,39,-44,9.75
22:26:47.790485,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,41,112,39,-45,9.75
22:26:48.792444,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,42,113,39,-44,9.75
22:26:49.798786,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,43,112,39,-45,9.75
22:26:50.797601,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,44,111,38,-46,9.5
22:26:51.799808,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,1.0,7600.059102305,14200.01923941,1,45,112,37,-45,9.25
22:26:52.801456,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,1.5,7700.011959123,14300.631923941,2,46,111,40,-46,10.0
22:26:53.803752,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,2.0,7800.01959123,14400.0192391,2,47,110,41,-47,10.25
22:26:54.805454,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,0.0,7500.123,14000.5182,0,48,112,39,-45,9.75
22:26:55.807959,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,0.5,7501.129681,14001.123456789,1,49,112,38,-45,9.5
