Time,Altitude,OrientX,OrientY,OrientZ,Longitude,Latitude,VelX,VelY,VelZ,State,Battery,Frame,TimeSinceStartup,Longitude Change,Latitude Change
19:56:12.971450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:16.707686,0.014095189049839973,-0.0005197214777581394,-742042103709696.0,3.5755459506348015e+24,-2.2023857751280946e-36,-2.2453157306750874e-16,3.78458679506366e-07,-3742268.0,0.155162513256073,3.8661744155100176e-46,7.783820210727244e+253,63838,27229,3.8661744155100176e-46,7.783820210727244e+253
19:56:16.843826,-2.1156575001953573e-24,6.2265996613041084e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:16.903797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:20.306440,4.74456238186427e-12,-2.0595781080601228e-08,-0.19970621168613434,-118.6309585571289,948149.4375,-4537569509376.0,-0.01297675259411335,-2.4174520926355478e-29,42746182107136.0,5.2888255651412094e+110,-3.2286811555404355e-293,46373,16160,5.2888255651412094e+110,-3.2286811555404355e-293
19:56:20.361780,-2.4465772257522098e+36,6.276275691864423e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:20.471710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:21.505274,-5.430721455300092e+22,2.109256377481298e+18,-0.002193143591284752,5.3726503965476e-24,-2.5292286787123905e+36,-9.238069666994434e+37,-6.760755153239384e-21,2.367030860596711e-14,-8.226490891461323e-30,-1.785686987844547e-85,-3.321418295123803e+177,52551,52474,-1.785686987844547e-85,-3.321418295123803e+177
19:56:21.633962,-4302399200034816.0,3.555706547475989e+32,8.407790785948902e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:21.748422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:23.908978,-1.4109167170320913e-30,-0.37546810507774353,-737549567918080.0,-6.265484414928399e-14,1.1387208809255618e+21,4570052971986944.0,-0.0033138671424239874,-1.7561968166349832e+19,43674431913984.0,-2.5029780781124436e+49,-4.564430581236641e-198,26285,29694,-2.5029780781124436e+49,-4.564430581236641e-198
19:56:24.034875,-1.7553468878062095e-34,5.723911863196867e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:24.142868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:25.220818,0.0,3.193148597311617e-21,1.5950571866064364e-23,2.403787385702791e-41,6.9875747923557e-41,0.0,0.0,0.0,2.3956598546097073e-41,4.9413344860800263e+58,1.4444460255638786e+117,16587,0,4.9413344860800263e+58,1.4444460255638786e+117
19:56:26.222740,0.0,4.173941903218292e-08,-1.5950279987529432e-23,4.17376462280572e-08,2.405188684167116e-41,2.3183081793789774e-41,6.928019607621896e-41,2.336244799722335e-41,2.3928572576810576e-41,3.53749253332268e+63,4.009859456923372e+118,16587,1,3.53749253332268e+63,4.009859456923372e+118
19:56:27.223944,1.401298464324817e-45,2.4923494486481196e-41,2.403787385702791e-41,2.336244799722335e-41,2.4079912810957657e-41,2.336244799722335e-41,2.413596474953065e-41,2.365391807780291e-41,2.3721180404090503e-41,-3.360569608547275e-77,-1.2510774534398714e-19,16587,1,-3.360569608547275e-77,-1.2510774534398714e-19
19:56:28.225782,2.802596928649634e-45,2.5102860689914773e-41,2.405188684167116e-41,2.3956598546097073e-41,2.4107938780244153e-41,2.3474551874369336e-41,2.4315330952964226e-41,2.3777232342663496e-41,2.3541814200656927e-41,2.8310722154064633e-212,-2.441576781409765e+223,16587,2,2.8310722154064633e-212,-2.441576781409765e+223
19:56:28.705249,-1.3524861065703178e+25,0.11486129462718964,-6.758194649592042e-05,1178373.0,1.0326225802022093e+17,551625728.0,1.1260992832662353e-10,4.537367833549302e+24,-2.3321581047863732e+21,-2.2399712816599323e-114,-3.12966583656431e-166,25879,21006,-2.2399712816599323e-114,-3.12966583656431e-166
19:56:28.824776,-3.304545394913871e-18,634849920.0,8.407790785948902e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:28.939210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:29.228755,0.0,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,9.715378603011392e-290,2.8800625141697047e+262,8194,16588,9.715378603011392e-290,2.8800625141697047e+262
19:56:30.230583,3.673447872288935e-40,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,5.901299262888298e+293,2.847801724655954e+98,22594,16587,5.901299262888298e+293,2.847801724655954e+98
19:56:31.230834,4.5917748078995606e-40,2000.0,125.5999984741211,135.60000610351562,140.1999969482422,5.0,-10.0,10.0,90.0,4.2061767360335484e-64,-1.0073077335318831e+65,22671,16587,4.2061767360335484e-64,-1.0073077335318831e+65
19:56:32.233797,5.510143782464116e-40,4000.0,130.0,10.0,160.0,10.0,200.0,30.0,40.0,3.9371215785383795e-148,3.1359547237582514e+262,48130,16587,3.9371215785383795e-148,3.1359547237582514e+262
19:56:33.234986,6.428498744044028e-40,8000.0,140.0,100.0,180.0,15.0,400.0,50.0,20.0,8.44885129105345e-233,-2.1496102591917965e+168,61008,16587,8.44885129105345e-233,-2.1496102591917965e+168
19:56:34.236667,7.346867718608583e-40,12000.0,135.0,140.0,170.0,8.0,-100.0,25.0,10.0,9.715378603011392e-290,2.8800625141697047e+262,8194,16588,9.715378603011392e-290,2.8800625141697047e+262
19:56:35.238510,8.265222680188496e-40,1000.0,360.2300109863281,130.10000610351562,-100.5,0.0,0.0,0.0,100.0,5.901299262888298e+293,2.847801724655954e+98,22594,16587,5.901299262888298e+293,2.847801724655954e+98
19:56:35.906853,9.183549615799121e-40,-2.048177595290831e-31,-2.2379643027647944e-08,-0.00015997722221072763,-1286849.875,-984795.4375,1.95847540016205e+19,0.8483497500419617,-3015617792.0,9.770052349255465e-22,-1.389609984311503e+251,8683,20226,9.770052349255465e-22,-1.389609984311503e+251
19:56:36.024514,8.120793385924636e-16,46931061506048.0,5.891507159530115e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:36.142625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19:56:36.255844,0.0,0.0,4.173941903218292e-08,-1.5950279987529432e-23,4.17376462280572e-08,2.405188684167116e-41,2.3183081793789774e-41,6.928019607621896e-41,2.336244799722335e-41,4.8465924478941994e-126,-1.1550247670264849e-175,52590,22671,4.8465924478941994e-126,-1.1550247670264849e-175
